Study,Experiment,Family,Genus,Species,Latitude,Longitude,Stressor,Lifestage,Response_category,Sign_change,Response_variable,Units,Duration_days,Timepoint,Sample_size.t,Sample_size.c,ECOREGION,PROVINCE,REALM,yi,vi,deltapH_z,deltapCO2_z,deltaT_z,Duration_days_z
Luning 1980,1,Arthrothamnaceae,Saccharina,Saccharina latissima,54.179353,7.877158,T,Gametophyte,Growth,+,Diameter,um,7,F,20,20,North Sea,Northern European Seas,Temperate Northern Atlantic,-0.533824884,0.103562113,NA,NA,-0.594592791,-0.341304808
Luning 1980,1,Arthrothamnaceae,Saccharina,Saccharina latissima,54.179353,7.877158,T,Gametophyte,Growth,+,Diameter,um,7,F,20,20,North Sea,Northern European Seas,Temperate Northern Atlantic,0.058570952,0.100042882,NA,NA,0.163706829,-0.341304808
Luning 1980,1,Arthrothamnaceae,Saccharina,Saccharina latissima,54.179353,7.877158,T,Gametophyte,Growth,+,Diameter,um,7,F,20,20,North Sea,Northern European Seas,Temperate Northern Atlantic,0.159551083,0.100318207,NA,NA,0.416473369,-0.341304808
Luning 1980,1,Arthrothamnaceae,Saccharina,Saccharina latissima,54.179353,7.877158,T,Gametophyte,Growth,+,Diameter,um,7,F,20,20,North Sea,Northern European Seas,Temperate Northern Atlantic,5.520785928,0.480988466,NA,NA,0.669239908,-0.341304808
Luning 1980,1,Arthrothamnaceae,Saccharina,Saccharina latissima,54.179353,7.877158,T,Gametophyte,Growth,+,Diameter,um,7,F,20,20,North Sea,Northern European Seas,Temperate Northern Atlantic,7.643349604,0.830259915,NA,NA,0.922006448,-0.341304808
Andersen et al. 2013,1,Arthrothamnaceae,Saccharina,Saccharina latissima,60.407718,5.285705,T,Young sporophyte,Net primary productivity,+,NPmax,umol/g/h,25,F,4,4,Southern Norway,Northern European Seas,Temperate Northern Atlantic,-1.000123836,0.56251548,NA,NA,-0.594592791,0.775931422
Andersen et al. 2013,1,Arthrothamnaceae,Saccharina,Saccharina latissima,58.339689,8.598663,T,Young sporophyte,Net primary productivity,+,NPmax,umol/g/h,25,F,4,4,North Sea,Northern European Seas,Temperate Northern Atlantic,-0.449995217,0.512655981,NA,NA,-0.594592791,0.775931422
Andersen et al. 2013,1,Arthrothamnaceae,Saccharina,Saccharina latissima,59.644638,10.62823,T,Young sporophyte,Net primary productivity,+,NPmax,umol/g/h,25,F,4,4,North Sea,Northern European Seas,Temperate Northern Atlantic,-0.070424577,0.500309976,NA,NA,-0.594592791,0.775931422
Andersen et al. 2013,1,Arthrothamnaceae,Saccharina,Saccharina latissima,60.407718,5.285705,T,Young sporophyte,Net primary productivity,+,NPmax,umol/g/h,25,F,4,4,Southern Norway,Northern European Seas,Temperate Northern Atlantic,3.103249368,1.10188479,NA,NA,0.669239908,0.775931422
Andersen et al. 2013,1,Arthrothamnaceae,Saccharina,Saccharina latissima,58.339689,8.598663,T,Young sporophyte,Net primary productivity,+,NPmax,umol/g/h,25,F,4,4,North Sea,Northern European Seas,Temperate Northern Atlantic,1.333801873,0.611189215,NA,NA,0.669239908,0.775931422
Andersen et al. 2013,1,Arthrothamnaceae,Saccharina,Saccharina latissima,60.407718,5.285705,T,Young sporophyte,Fluorescence,+,Alpha,(umol/g/h)/(umol/m2/s),25,F,4,4,Southern Norway,Northern European Seas,Temperate Northern Atlantic,0.681144855,0.528997395,NA,NA,-0.594592791,0.775931422
Andersen et al. 2013,1,Arthrothamnaceae,Saccharina,Saccharina latissima,58.339689,8.598663,T,Young sporophyte,Fluorescence,+,Alpha,(umol/g/h)/(umol/m2/s),25,F,4,4,North Sea,Northern European Seas,Temperate Northern Atlantic,-1.164919002,0.584814768,NA,NA,-0.594592791,0.775931422
Andersen et al. 2013,1,Arthrothamnaceae,Saccharina,Saccharina latissima,59.644638,10.62823,T,Young sporophyte,Fluorescence,+,Alpha,(umol/g/h)/(umol/m2/s),25,F,4,4,North Sea,Northern European Seas,Temperate Northern Atlantic,-0.893546666,0.549901603,NA,NA,-0.594592791,0.775931422
Andersen et al. 2013,1,Arthrothamnaceae,Saccharina,Saccharina latissima,60.407718,5.285705,T,Young sporophyte,Fluorescence,+,Alpha,(umol/g/h)/(umol/m2/s),25,F,4,4,Southern Norway,Northern European Seas,Temperate Northern Atlantic,2.73668993,0.968091986,NA,NA,0.669239908,0.775931422
Andersen et al. 2013,1,Arthrothamnaceae,Saccharina,Saccharina latissima,58.339689,8.598663,T,Young sporophyte,Fluorescence,+,Alpha,(umol/g/h)/(umol/m2/s),25,F,4,4,North Sea,Northern European Seas,Temperate Northern Atlantic,0.914076633,0.552221006,NA,NA,0.669239908,0.775931422
Andersen et al. 2013,1,Arthrothamnaceae,Saccharina,Saccharina latissima,60.407718,5.285705,T,Young sporophyte,Fluorescence,+,Ek,umol/m2/s,25,F,4,4,Southern Norway,Northern European Seas,Temperate Northern Atlantic,-1.552378146,0.650617369,NA,NA,-0.594592791,0.775931422
Andersen et al. 2013,1,Arthrothamnaceae,Saccharina,Saccharina latissima,58.339689,8.598663,T,Young sporophyte,Fluorescence,+,Ek,umol/m2/s,25,F,4,4,North Sea,Northern European Seas,Temperate Northern Atlantic,0,0.5,NA,NA,-0.594592791,0.775931422
Andersen et al. 2013,1,Arthrothamnaceae,Saccharina,Saccharina latissima,59.644638,10.62823,T,Young sporophyte,Fluorescence,+,Ek,umol/m2/s,25,F,4,4,North Sea,Northern European Seas,Temperate Northern Atlantic,0.406107024,0.510307682,NA,NA,-0.594592791,0.775931422
Andersen et al. 2013,1,Arthrothamnaceae,Saccharina,Saccharina latissima,60.407718,5.285705,T,Young sporophyte,Fluorescence,+,Ek,umol/m2/s,25,F,4,4,Southern Norway,Northern European Seas,Temperate Northern Atlantic,-0.799015702,0.539901631,NA,NA,0.669239908,0.775931422
Andersen et al. 2013,1,Arthrothamnaceae,Saccharina,Saccharina latissima,58.339689,8.598663,T,Young sporophyte,Fluorescence,+,Ek,umol/m2/s,25,F,4,4,North Sea,Northern European Seas,Temperate Northern Atlantic,-0.983412589,0.56044377,NA,NA,0.669239908,0.775931422
Andersen et al. 2013,1,Arthrothamnaceae,Saccharina,Saccharina latissima,60.407718,5.285705,T,Young sporophyte,Fluorescence,+,Fv/Fm,,25,F,4,4,Southern Norway,Northern European Seas,Temperate Northern Atlantic,0.41196402,0.510607147,NA,NA,-0.594592791,0.775931422
Andersen et al. 2013,1,Arthrothamnaceae,Saccharina,Saccharina latissima,58.339689,8.598663,T,Young sporophyte,Fluorescence,+,Fv/Fm,,25,F,4,4,North Sea,Northern European Seas,Temperate Northern Atlantic,2.724579419,0.963958313,NA,NA,-0.594592791,0.775931422
Andersen et al. 2013,1,Arthrothamnaceae,Saccharina,Saccharina latissima,59.644638,10.62823,T,Young sporophyte,Fluorescence,+,Fv/Fm,,25,F,4,4,North Sea,Northern European Seas,Temperate Northern Atlantic,0.578891495,0.52094471,NA,NA,-0.594592791,0.775931422
Andersen et al. 2013,1,Arthrothamnaceae,Saccharina,Saccharina latissima,60.407718,5.285705,T,Young sporophyte,Fluorescence,+,Fv/Fm,,25,F,4,4,Southern Norway,Northern European Seas,Temperate Northern Atlantic,0.781161771,0.538138357,NA,NA,0.669239908,0.775931422
Andersen et al. 2013,1,Arthrothamnaceae,Saccharina,Saccharina latissima,58.339689,8.598663,T,Young sporophyte,Fluorescence,+,Fv/Fm,,25,F,4,4,North Sea,Northern European Seas,Temperate Northern Atlantic,3.405724274,1.224934864,NA,NA,0.669239908,0.775931422
Andersen et al. 2013,1,Arthrothamnaceae,Saccharina,Saccharina latissima,60.407718,5.285705,T,Young sporophyte,Fluorescence,+,NPQ,,25,F,4,4,Southern Norway,Northern European Seas,Temperate Northern Atlantic,1.314321222,0.607965017,NA,NA,-0.594592791,0.775931422
